protocol_name,last_updated,author,clinical_indications,patient_positioning,npo_status,premedication_notes,contrast_agent,contrast_volume,contrast_flow_rate,contrast_timing_method,contrast_roi_placement,contrast_trigger_hu,contrast_labs_notes,tech_notes,nursing_notes,radiologist_notes,gantt_contrast_volume,gantt_contrast_duration,gantt_saline_volume,gantt_saline_duration,gantt_scan_section,gantt_scan_phase,gantt_scan_style,gantt_scan_delay,gantt_scan_duration,safety_renal_function,safety_allergy_check,series_1_name,series_1_start,series_1_end,series_1_delay,series_1_thickness,series_1_notes,series_2_name,series_2_start,series_2_end,series_2_delay,series_2_thickness,series_2_notes,series_3_name,series_3_start,series_3_end,series_3_delay,series_3_thickness,series_3_notes,series_4_name,series_4_start,series_4_end,series_4_delay,series_4_thickness,series_4_notes,series_5_name,series_5_start,series_5_end,series_5_delay,series_5_thickness,series_5_notes,postproc_1_plane,postproc_1_acq,postproc_1_fov,postproc_1_thickness,postproc_1_kernel,postproc_1_ir,postproc_1_notes,postproc_2_plane,postproc_2_acq,postproc_2_fov,postproc_2_thickness,postproc_2_kernel,postproc_2_ir,postproc_2_notes,postproc_3_plane,postproc_3_acq,postproc_3_fov,postproc_3_thickness,postproc_3_kernel,postproc_3_ir,postproc_3_notes,postproc_4_plane,postproc_4_acq,postproc_4_fov,postproc_4_thickness,postproc_4_kernel,postproc_4_ir,postproc_4_notes,artifact_reduction_tip,category,kv,mas,rotation_time,pitch,additional_recons,
CT Temporal Bones,2024-01-15,Dr. Anderson,Hearing loss | Chronic otitis | Cholesteatoma | Temporal bone fracture | Pre-operative cochlear implant,Supine head-first,None,None,None,None,None,Non-contrast,N/A,N/A,No contrast. High resolution bone algorithm,Temporal bones: external auditory canal to petrous apex. SUBMILLIMETER <0.625mm. Direct axial and direct coronal if possible. Ultra high resolution,No IV. Remove hearing aids and earrings,Ossicles. Cochlea. Semicircular canals. Internal auditory canal. Mastoid air cells. Cholesteatoma. Fracture. Tegmen,N/A,N/A,N/A,N/A,Temporal bones,Non-contrast HR,done,0:00,8s,N/A,N/A,Scout,EAC level,Petrous apex,N/A,N/A,Lateral,Axial Temporal,EAC,Petrous apex,N/A,0.5-0.625 mm,Parallel to lateral SCC,Coronal Temporal,EAC,IAC,N/A,0.5-0.625 mm,Perpendicular to petrous ridge,,,,,,,,,,,,,Axial,Temporal,Bilateral,0.5 mm/0.5 mm,Bone sharp,N/A,Ultra HR bone,Coronal,Temporal,Bilateral,0.5 mm/0.5 mm,Bone sharp,N/A,Coronal bone,Oblique sagittal,Temporal,Ossicles,0.5 mm,Bone,N/A,Ossicular chain,Pöschl/Stenvers,Temporal,IAC,0.75 mm,Bone,N/A,IAC oriented views,Submillimeter critical. Sharp bone kernel. Remove all metal,neuro,120,High mAs (300-400),Axial/Coronal,Sequential or helical,Pöschl and Stenvers oblique reformats for IAC. Measure vestibular aqueduct,
CT Soft Tissue Neck,2024-01-15,Dr. Thompson,Neck mass | Deep neck infection | Abscess | Airway assessment | Lymphadenopathy,Supine head-first,NPO 2 hours,None,Omnipaque 350,100 mL,3 mL/s,Contrast with 60-70s delay,N/A,N/A,Full dose if eGFR > 30. Contrast essential,Skull base to thoracic inlet. 60-70 sec delay for venous phase. Arms down. Minimize swallowing. May need NC if calcium assessment,18-20G IV. Coach no swallowing during scan,Assess neck spaces. Retropharyngeal. Parapharyngeal. Masticator. Parotid. Submandibular. Thyroid. Lymph nodes. Abscess vs phlegmon,100mL,27s,40mL,11s,Neck,Venous phase,done,1:10,12s,Verify eGFR > 30,Check allergy history,Scout,Skull base,Thoracic inlet,N/A,N/A,Lateral,Contrast Neck,Skull base,Thoracic inlet,60-70 sec,1-2 mm,Venous phase,,,,,,,,,,,,,,,,,,,Axial,Neck,Neck,2.5 mm/2 mm,Standard,3,Soft tissue neck,Coronal,Neck,Neck,3 mm/2.5 mm,Standard,3,Coronal neck spaces,Sagittal,Neck,Midline,3 mm/2.5 mm,Standard,3,Airway and retropharyngeal,,,,,,,,Arms down. Minimize swallowing. Quiet breathing,neuro,120,Auto (reference 200-250),0.5,1,Assess all neck spaces. Measure lymph nodes. Airway diameter if concern,
CT Parathyroid 4D,2024-01-15,Dr. Kim,Hyperparathyroidism | Parathyroid adenoma localization | Pre-operative parathyroid planning,Supine head-first with arms down,NPO 4 hours,None,Omnipaque 350,75-100 mL,4 mL/s,4D multi-phase,Carotid artery,150 HU,Full dose if eGFR > 30,FOUR phases: 1) NC 2) Arterial 25s 3) Venous 55s 4) Delayed/washout 90s. Skull base to mediastinum. Parathyroid enhances early washes out,18-20G IV. High flow rate for arterial,NC: baseline. Arterial: parathyroid lights up. Venous: thyroid enhances. Delayed: parathyroid washes out faster than thyroid,90mL,20s,40mL,10s,Neck/Upper chest,Multi-phase 4D,crit,Variable,40s total,Verify eGFR > 30,Check allergy history,Scout,Skull base,Carina,N/A,N/A,AP lateral,Non-Contrast,Skull base,Carina,N/A,2.5 mm,Baseline,Arterial Phase,Skull base,Carina,25 sec,2 mm,Parathyroid enhancement,Venous Phase,Skull base,Carina,55 sec,2 mm,Thyroid enhancement,Delayed Phase,Skull base,Carina,90 sec,2.5 mm,Washout phase,Axial,All phases,Neck,2 mm/2 mm,Standard,3,Compare all four phases,Axial,Arterial,Neck,2 mm/2 mm,Standard,3,Peak parathyroid enhancement,Subtraction,Arterial - NC,Neck,2 mm,Standard,3,Enhance parathyroid conspicuity,Coronal,Arterial,Neck,2.5 mm,Standard,3,Ectopic adenoma search,Four phase critical. Look for early enhancement and washout,neuro,120,Auto (reference 200),0.5,1,Subtraction images. Compare all phases. Document location for surgeon. Measure size,
CT Cervical Spine,2024-01-15,Dr. Rodriguez,Cervical spine trauma | Degenerative disease | Neck pain | Radiculopathy | Myelopathy,Supine head-first,None,None,None typically. Contrast if infection/tumor,If contrast: 100 mL,3 mL/s,Non-contrast typically,N/A,N/A,NC typical. Contrast for infection tumor or post-op,Skull base to T1. Submillimeter helical. Sagittal and coronal reformats required. Bone algorithm,No IV unless contrast needed. Cervical precautions if trauma,Alignment. Fractures. Disc spaces. Neural foramina. Spinal canal. Facet joints. Degenerative changes,N/A or 100mL,N/A or 27s,N/A or 40mL,N/A or 11s,C-spine,NC or contrast scan,done,Variable,8s,N/A or verify eGFR,N/A or check allergy,Scout,Skull base,T1,N/A,N/A,AP and lateral,C-spine Helical,Skull base,T1,N/A or 60s if contrast,0.625 mm,Submillimeter acquisition,,,,,,,,,,,,,,,,,,,Axial,C-spine,C-spine,2 mm/2 mm,Bone,3,Bone and soft tissue,Sagittal,C-spine,C-spine,2 mm/1.5 mm,Bone,3,Midline and parasagittal,Coronal,C-spine,C-spine,2 mm/2 mm,Bone,3,Coronal alignment,Oblique sagittal,C-spine,Neural foramina,2 mm,Bone,3,Foraminal narrowing,Minimize motion. C-collar if trauma,neuro,120,Auto (reference 250),0.5,Helical,Sagittal and coronal bone reconstructions. Oblique for foramina,
CT Thoracic Spine,2024-01-15,Dr. White,Thoracic spine trauma | Compression fracture | Back pain | Tumor | Infection,Supine,None,None,None typically. Contrast if infection/tumor,If contrast: 100 mL,3 mL/s,Non-contrast typically,N/A,N/A,NC typical. Contrast for infection tumor mets,C7 to L1. Submillimeter helical. Sagittal and coronal reformats. Arms up if possible,No IV unless contrast indicated. Arms up to reduce artifact,Alignment. Compression fractures. Pedicles. Spinal canal. Disc spaces. Paraspinal soft tissues,N/A or 100mL,N/A or 27s,N/A or 40mL,N/A or 11s,T-spine,NC or contrast scan,done,Variable,10s,N/A or verify eGFR,N/A or check allergy,Scout,C7,L1,N/A,N/A,AP and lateral,T-spine Helical,C7,L1,N/A or 60s if contrast,0.625-1 mm,Submillimeter,,,,,,,,,,,,,,,,,,,Axial,T-spine,T-spine,2 mm/2 mm,Bone,3,Bone and soft tissue,Sagittal,T-spine,T-spine,2 mm/1.5 mm,Bone,3,Midline and parasagittal,Coronal,T-spine,T-spine,2.5 mm/2 mm,Bone,3,Coronal overview,,,,,,,,Arms up reduces artifact. Bone algorithm,neuro,120,Auto (reference 250),0.5,Helical,,
CT Lumbar Spine,2024-01-15,Dr. Hayes,Lumbar spine trauma | Degenerative disease | Back pain | Radiculopathy | Sciatica,Supine,None,None,None typically. Contrast if infection/tumor/post-op,If contrast: 100 mL,3 mL/s,Non-contrast typically,N/A,N/A,NC typical. Contrast for infection tumor or post-op with hardware,T12 to sacrum. Submillimeter helical. Sagittal and coronal reformats. Oblique for foramina,No IV unless contrast needed,Alignment. Fractures. Disc spaces. Spinal canal stenosis. Neural foramina. Facet joints. Spondylolisthesis,N/A or 100mL,N/A or 27s,N/A or 40mL,N/A or 11s,L-spine,NC or contrast scan,done,Variable,8s,N/A or verify eGFR,N/A or check allergy,Scout,T12,Sacrum,N/A,N/A,AP and lateral,L-spine Helical,T12,Sacrum,N/A or 60s if contrast,0.625 mm,Submillimeter,,,,,,,,,,,,,,,,,,,Axial,L-spine,L-spine,2 mm/2 mm,Bone,3,Bone and soft tissue,Sagittal,L-spine,L-spine,2 mm/1.5 mm,Bone,3,Midline and parasagittal,Coronal,L-spine,L-spine,2.5 mm/2 mm,Bone,3,Coronal overview,Oblique sagittal,L-spine,Neural foramina,2 mm,Bone,3,Foraminal assessment,Bone algorithm. Sagittal and coronal reconstructions,neuro,120,Auto (reference 250),0.5,Helical,Oblique sagittal for foramina. Measure spinal canal. Grade stenosis,
CT Complete Spine,2024-01-15,Dr. Chen,Spine trauma pan-scan | Multi-level disease | Metastatic survey | Infection,Supine,None - usually trauma,None,None typically. Contrast if infection/mets,If contrast: 125 mL,3 mL/s,Non-contrast typically,N/A,N/A,NC for trauma. Contrast for mets or infection,Skull base to sacrum. LONG COVERAGE. Submillimeter. Sagittal and coronal entire spine. May do in segments,No IV unless contrast needed. Complete spine coverage,Entire spine alignment. Fractures all levels. Spinal canal. Paraspinal masses. Metastatic disease,N/A or 125mL,N/A or 35s,N/A or 40mL,N/A or 11s,Complete spine,NC or contrast scan,done,Variable,25s,N/A or verify eGFR,N/A or check allergy,Scout,Skull base,Sacrum,N/A,N/A,Full AP and lateral,Complete Spine,Skull base,Sacrum,N/A or 60s if contrast,0.625-1 mm,Submillimeter entire spine,,,,,,,,,,,,,,,,,,,Axial,Spine,Full spine,2 mm/2 mm,Bone,3,Axial entire spine,Sagittal,Spine,Full spine,2 mm/1.5 mm,Bone,3,Sagittal full spine,Coronal,Spine,Full spine,2.5 mm/2 mm,Bone,3,Coronal full spine,,,,,,,,Long coverage. May need multiple acquisitions,neuro,120,Auto (reference 250),0.5,Helical,Sagittal and coronal bone reconstructions. Oblique for foramina,
CT Myelogram,2024-01-15,Dr. Martinez,Post-myelogram CT | Intrathecal contrast follow-up | Spinal stenosis | Nerve root compression,Supine. Post-lumbar puncture,None,Intrathecal contrast already given,Omnipaque 240 intrathecal,10-15 mL IT,N/A,Post-myelogram imaging,N/A,N/A,Intrathecal contrast given by clinician via LP,Post-LP CT. Usually lumbar region. Thin slices. Axial and sagittal reformats. Assess nerve root sleeves and thecal sac,Patient already had LP with IT contrast. Position comfortably,Nerve root sleeves. Thecal sac compression. Spinal stenosis. Disc herniations. Surgical planning detail,N/A,N/A,N/A,N/A,Spine,Post-myelogram,done,Variable,10s,N/A,N/A,Scout,Coverage area,Based on region,N/A,N/A,AP and lateral,CT Myelogram,Region of interest,Extended coverage,N/A,0.625 mm,Submillimeter for detail,,,,,,,,,,,,,,,,,,,Axial,Myelogram,Spine,1 mm/1 mm,Bone and Standard,3,Nerve roots and thecal sac,Sagittal,Myelogram,Spine,1.5 mm/1 mm,Standard,3,Thecal sac and compression,Coronal,Myelogram,Spine,2 mm/1.5 mm,Standard,3,Coronal nerve roots,Oblique sagittal,Myelogram,Neural foramina,1.5 mm,Standard,3,Foraminal nerve roots,Post-LP headache precautions. Thin slices for nerve detail,neuro,120,Auto (reference 250),0.5,Helical,Oblique reformats for nerve roots. Document stenosis level and severity,
MSK Protocol General,2024-01-15,Dr. Lee,Pre-operative planning | Post-operative assessment | Infection | Mass | Soft tissue tumor | Abscess,Depends on body part,NPO 2-4 hours if contrast,None,Omnipaque 350 if contrast,100 mL if contrast,2-3 mL/s,Non-contrast +/- contrast +/- delay,N/A,N/A,Contrast for infection mass post-op. NC for trauma hardware,Field of view specific to region. Submillimeter if 3D needed. NC and/or contrast based on indication. Delayed phase (5-10 min) for infection/tumor,IV for contrast studies. Document indication,NC: baseline bone soft tissue. Contrast: enhancement pattern. Delayed: washout or persistent enhancement. 3D for surgical planning,100mL if used,28s,40mL,11s,Variable MSK,Variable phases,Variable,Variable,Variable,N/A or eGFR > 30,N/A or check allergy,Scout,Region specific,Region specific,N/A,N/A,Two views,Non-contrast,Region,Region,N/A,0.625-1 mm,Baseline if done,Contrast phase,Region,Region,60-90 sec if done,0.625-1 mm,Standard if done,Delayed phase,Region,Region,5-10 min if done,1-2 mm,For infection/tumor,,,,,,,Axial,Acquisition,Region,1-2 mm/1-2 mm,Bone and Standard,3,Primary images,Coronal,Region,Region,2 mm/2 mm,Bone and Standard,3,Coronal reformats,Sagittal,Region,Region,2 mm/2 mm,Bone and Standard,3,Sagittal reformats,3D if needed,Region,Bones,0.625-1 mm source,Bone,N/A,3D for surgical planning,Tailor protocol to clinical question. Bilateral for comparison,msk,120,Auto (reference 200-250),0.5,Helical,Compare to contralateral side. Measure lesions. Bone and soft tissue windows,
CT Ankle,2024-01-15,Dr. Patel,Ankle fracture | Ligament injury | Pilon fracture | Pre-operative planning | Hardware assessment,Supine feet first,None,None,None typically. Contrast if infection/mass,If contrast: 75 mL,2-3 mL/s,Non-contrast typical,N/A,N/A,NC for trauma. Contrast for infection or soft tissue mass,Include distal tibia/fibula through hindfoot. Submillimeter for 3D. Bilateral scout for positioning. May scan bilateral for comparison,No IV unless contrast needed,Malleolar fractures. Tibial plafond. Talus. Calcaneus. Syndesmosis. Ligaments on contrast,N/A or 75mL,N/A or 21s,N/A or 30mL,N/A or 8s,Ankle,NC or contrast,done,Variable,5s,N/A or eGFR > 30,N/A or check allergy,Scout Bilateral,Bilateral ankles,Feet,N/A,N/A,AP for positioning,CT Ankle,Distal tib/fib,Hindfoot,N/A or 60s if contrast,0.625 mm,Submillimeter,,,,,,,,,,,,,,,,,,,Axial,Ankle,Ankle,1 mm/1 mm,Bone,N/A,Bone algorithm,Coronal,Ankle,Ankle,1.5 mm/1 mm,Bone,N/A,Coronal ankle,Sagittal,Ankle,Ankle,1.5 mm/1 mm,Bone,N/A,Sagittal ankle,3D surface,Ankle,Bones,0.625 mm source,Bone,N/A,3D for complex fractures,Bilateral scout for symmetry. Submillimeter for 3D,msk,120,Auto (reference 200),0.5,Helical,3D reconstruction for surgical planning. Document fracture fragments,
CT Foot,2024-01-15,Dr. Davis,Foot fracture | Lisfranc injury | Tarsal fractures | Foreign body | Pre-operative planning,Supine feet first,None,None,None typically. Contrast if infection,If contrast: 75 mL,2-3 mL/s,Non-contrast typical,N/A,N/A,NC for trauma foreign body. Contrast for infection osteomyelitis,Calcaneus through toes. Submillimeter. Weight-bearing position if able. Bilateral for comparison,No IV unless infection suspected,Calcaneus. Talus. Navicular. Cuneiforms. Metatarsals. Phalanges. Lisfranc ligament. Plantar fascia,N/A or 75mL,N/A or 21s,N/A or 30mL,N/A or 8s,Foot,NC or contrast,done,Variable,5s,N/A or eGFR > 30,N/A or check allergy,Scout,Calcaneus,Toes,N/A,N/A,Lateral and AP,CT Foot,Calcaneus,Toes,N/A or 60s if contrast,0.625 mm,Submillimeter,,,,,,,,,,,,,,,,,,,Axial,Foot,Foot,1 mm/1 mm,Bone,N/A,Axial bone,Coronal,Foot,Foot,1.5 mm/1 mm,Bone,N/A,Coronal foot,Sagittal,Foot,Foot,1.5 mm/1 mm,Bone,N/A,Sagittal foot,Oblique,Foot,Lisfranc,1.5 mm,Bone,N/A,Lisfranc joint,Weight-bearing if possible. Bilateral comparison helpful,msk,120,Auto (reference 200),0.5,Helical,Document Lisfranc alignment. Calcaneal angles. 3D if complex,
CT Gout Protocol,2024-01-15,Dr. Johnson,Gout | Tophi | Urate deposition | CPPD | Crystal arthropathy,Variable - affected joint,None,None,None,None,None,Non-contrast dual energy,N/A,N/A,No contrast. Dual energy CT preferred,Dual energy CT if available for urate detection. Single energy if not. Cover affected joint(s). Extended FOV if polyarticular,No IV. Document affected joints,Urate crystals color-coded on DECT. Tophi. Joint erosions. Soft tissue deposits. Quantify urate burden,N/A,N/A,N/A,N/A,Joint(s),DECT preferred,done,0:00,Variable,N/A,N/A,Scout,Joint region,Extended as needed,N/A,N/A,Appropriate views,DECT or CT,Joint region,Extended coverage,N/A,0.625-1 mm,Dual energy if available,,,,,,,,,,,,,,,,,,,Axial,Gout,Joints,1 mm/1 mm,Bone and Standard,3,Standard images,DECT urate,Gout,Joints,Color overlay,Urate algorithm,N/A,Urate crystal map,3D volume,Gout,Urate burden,Volumetric,Urate,N/A,Quantify total urate,Coronal,Gout,Joints,1.5 mm,Bone,N/A,Joint erosions,Dual energy preferred for urate detection,msk,Dual energy 80/140Sn or equivalent,Auto,0.5,Helical,Urate volume quantification. Color overlay. Document tophi locations,
CT Knee,2024-01-15,Dr. Thompson,Knee fracture | Tibial plateau | Patellar fracture | Pre-operative planning | Hardware evaluation,Supine feet first,None,None,None typically. Contrast if infection/mass,If contrast: 75 mL,2-3 mL/s,Non-contrast typical,N/A,N/A,NC for trauma. Contrast for infection or tumor,Distal femur through proximal tibia/fibula. Submillimeter. Extended FOV for alignment. Bilateral scout,No IV unless contrast indicated,Tibial plateau fractures (Schatzker). Femoral condyles. Patella. Fibula. Cruciate ligaments on contrast. Menisci,N/A or 75mL,N/A or 21s,N/A or 30mL,N/A or 8s,Knee,NC or contrast,done,Variable,8s,N/A or eGFR > 30,N/A or check allergy,Scout Bilateral,Bilateral knees,Extended,N/A,N/A,AP for alignment,CT Knee,Distal femur,Proximal tib/fib,N/A or 60s if contrast,0.625 mm,Submillimeter,,,,,,,,,,,,,,,,,,,Axial,Knee,Knee,1.5 mm/1 mm,Bone,N/A,Bone algorithm,Coronal,Knee,Knee,1.5 mm/1 mm,Bone,N/A,Coronal knee,Sagittal,Knee,Knee,1.5 mm/1 mm,Bone,N/A,Sagittal knee,3D surface,Knee,Bones,0.625 mm source,Bone,N/A,3D for surgical planning,Bilateral scout for alignment assessment,msk,120,Auto (reference 200),0.5,Helical,Schatzker classification if tibial plateau. Measure alignment. 3D reconstruction,
CT Upper Extremity,2024-01-15,Dr. White,Upper extremity fracture | Humerus | Radius/ulna | Forearm | Elbow injury,Supine with arm positioned,None,None,None typically. Contrast if infection,If contrast: 75 mL,2-3 mL/s,Non-contrast typical,N/A,N/A,NC for trauma. Contrast for infection or soft tissue mass,FOV based on region: shoulder to hand. Submillimeter for fracture detail. Position for comfort and coverage,No IV unless contrast needed,Fractures. Alignment. Intra-articular extension. Comminution. Soft tissue injury on contrast,N/A or 75mL,N/A or 21s,N/A or 30mL,N/A or 8s,Upper extremity,NC or contrast,done,Variable,Variable,N/A or eGFR > 30,N/A or check allergy,Scout,Region specific,Extended,N/A,N/A,AP and lateral,CT Upper Extremity,Proximal to injury,Distal to injury,N/A or 60s if contrast,0.625-1 mm,Submillimeter,,,,,,,,,,,,,,,,,,,Axial,Upper extremity,Region,1-2 mm/1-2 mm,Bone,N/A,Bone windows,Coronal,Upper extremity,Region,2 mm/2 mm,Bone,N/A,Coronal,Sagittal,Upper extremity,Region,2 mm/2 mm,Bone,N/A,Sagittal,3D surface,Upper extremity,Bones,0.625 mm source,Bone,N/A,3D if complex,Position for patient comfort and diagnostic quality,msk,120,Auto (reference 200),0.5,Helical,Document fracture location alignment. Soft tissue windows if contrast,
CT Lower Extremity,2024-01-15,Dr. Rodriguez,Lower extremity fracture | Tibia/fibula | Femur | Post-operative hardware assessment,Supine,None,None,None typically. Contrast if infection,If contrast: 100 mL,2-3 mL/s,Non-contrast typical,N/A,N/A,NC for trauma. Contrast for infection osteomyelitis,FOV based on region: hip to ankle. Submillimeter for fracture. Extended coverage for alignment,No IV unless contrast needed,Fractures. Alignment. Comminution. Intra-articular extension. Hardware position. Infection on contrast,N/A or 100mL,N/A or 28s,N/A or 40mL,N/A or 11s,Lower extremity,NC or contrast,done,Variable,Variable,N/A or eGFR > 30,N/A or check allergy,Scout,Region specific,Extended,N/A,N/A,AP and lateral,CT Lower Extremity,Proximal to injury,Distal to injury,N/A or 60s if contrast,0.625-1 mm,Submillimeter,,,,,,,,,,,,,,,,,,,Axial,Lower extremity,Region,2 mm/2 mm,Bone,N/A,Bone windows,Coronal,Lower extremity,Region,2 mm/2 mm,Bone,N/A,Coronal,Sagittal,Lower extremity,Region,2 mm/2 mm,Bone,N/A,Sagittal,3D surface,Lower extremity,Bones,0.625 mm source,Bone,N/A,3D reconstruction,Extended coverage for alignment measurements,msk,120,Auto (reference 200-250),0.5,Helical,Alignment measurements. Hardware position. 3D for surgical planning,
CT Hip,2024-01-15,Dr. Anderson,Hip fracture | Acetabular fracture | Femoral neck | Pre-operative planning | FAI assessment,Supine,None,None,None typically. Contrast if infection/mass,If contrast: 100 mL,2-3 mL/s,Non-contrast typical,N/A,N/A,NC for trauma. Contrast for infection AVN or tumor,Iliac crests through proximal femurs. Bilateral for comparison. Submillimeter for 3D acetabular reconstructions,No IV unless contrast indicated,Femoral neck fractures. Acetabular fractures (Judet/Letournel). Hip dislocation. FAI morphology. AVN,N/A or 100mL,N/A or 28s,N/A or 40mL,N/A or 11s,Hip/Pelvis,NC or contrast,done,Variable,10s,N/A or eGFR > 30,N/A or check allergy,Scout,Iliac crests,Proximal femurs,N/A,N/A,AP,CT Pelvis/Hips,Iliac crests,Proximal femurs,N/A or 60s if contrast,0.625 mm,Submillimeter for 3D,,,,,,,,,,,,,,,,,,,Axial,Hips,Pelvis/hips,2 mm/2 mm,Bone,N/A,Axial bone,Coronal,Hips,Pelvis/hips,2 mm/2 mm,Bone,N/A,Coronal hips,Sagittal,Hips,Each hip,2 mm/2 mm,Bone,N/A,Sagittal hips,Judet views,Hips,Acetabulum,2 mm oblique,Bone,N/A,Obturator and iliac obliques,Bilateral coverage. Submillimeter for acetabular 3D,msk,120,Auto (reference 250),0.5,Helical,3D pelvis. Judet oblique views. Letournel classification. FAI measurements (alpha angle),
CT Pelvis MSK,2024-01-15,Dr. Kim,Pelvic fracture | Sacral fracture | SI joint | Pelvic ring injury | Pre-operative planning,Supine,None,None,None typically. Contrast if infection,If contrast: 100 mL,2-3 mL/s,Non-contrast typical,N/A,N/A,NC for trauma. Contrast for infection or tumor,Iliac crests to proximal femurs. Submillimeter for 3D. Assess pelvic ring integrity. Inlet and outlet views,No IV unless contrast indicated,Pelvic ring fractures (Young-Burgess). Sacral fractures (Denis). Acetabulum. SI joints. Symphysis pubis,N/A or 100mL,N/A or 28s,N/A or 40mL,N/A or 11s,Pelvis,NC or contrast,done,Variable,12s,N/A or eGFR > 30,N/A or check allergy,Scout,Iliac crests,Proximal femurs,N/A,N/A,AP,CT Pelvis,Iliac crests,Proximal femurs,N/A or 60s if contrast,0.625 mm,Submillimeter for 3D,,,,,,,,,,,,,,,,,,,Axial,Pelvis,Pelvis,2 mm/2 mm,Bone,N/A,Axial bone,Coronal,Pelvis,Pelvis,2 mm/2 mm,Bone,N/A,Coronal pelvis,Sagittal,Pelvis,Pelvis,2 mm/2 mm,Bone,N/A,Sagittal sacrum,Inlet/Outlet,Pelvis,Pelvic ring,2-3 mm oblique,Bone,N/A,Pelvic ring views,Submillimeter for 3D pelvic reconstruction,msk,120,Auto (reference 250),0.5,Helical,3D pelvis. Inlet and outlet views. Young-Burgess classification. Measure displacement,
CT Hand,2024-01-15,Dr. Chen,Hand fracture | Scaphoid fracture | Metacarpal fracture | Foreign body | Pre-operative planning,Prone with hand extended (superman position) or supine with arm at side,None,None,None typically. Contrast if infection,If contrast: 50 mL,2 mL/s,Non-contrast typical,N/A,N/A,NC for trauma foreign body. Contrast for infection,Distal radius/ulna through fingertips. Submillimeter. Position hand flat. Bilateral scout for comparison,No IV unless infection suspected,Carpal fractures (scaphoid navicular lunate). Metacarpals. Phalanges. CMC joints. Foreign bodies,N/A or 50mL,N/A or 18s,N/A or 30mL,N/A or 8s,Hand,NC or contrast,done,Variable,5s,N/A or eGFR > 30,N/A or check allergy,Scout,Distal radius/ulna,Fingertips,N/A,N/A,AP and lateral,CT Hand,Distal radius/ulna,Fingertips,N/A or 60s if contrast,0.625 mm,Submillimeter,,,,,,,,,,,,,,,,,,,Axial,Hand,Hand,1 mm/0.75 mm,Bone,N/A,Thin axial,Coronal,Hand,Hand,1 mm/0.75 mm,Bone,N/A,Coronal hand,Sagittal,Hand,Hand,1 mm/0.75 mm,Bone,N/A,Sagittal hand,Oblique sagittal,Hand,Scaphoid,1 mm,Bone,N/A,Scaphoid long axis,Superman position preferred. Submillimeter for scaphoid,msk,120,Auto (reference 150-200),0.5,Helical,Scaphoid-specific views. 3D if complex. Document foreign body location,
CT Wrist,2024-01-15,Dr. Hayes,Wrist fracture | Distal radius fracture | Carpal fracture | DRUJ | Scapholunate ligament,Prone with wrist extended (superman) or positioned for comfort,None,None,None typically. Contrast if infection,If contrast: 50 mL,2 mL/s,Non-contrast typical. Arthrogram contrast if ligament assessment,N/A,N/A,NC for fracture. Arthrogram for ligament,Distal radius/ulna through carpus. Submillimeter for carpal detail. Extended for forearm if needed,No IV unless contrast or arthrogram needed,Distal radius fractures. Carpal fractures (scaphoid). DRUJ. Carpal alignment. Ligaments on arthrogram,N/A or 50mL,N/A or 18s,N/A or 30mL,N/A or 8s,Wrist,NC or arthrogram,done,Variable,5s,N/A or eGFR > 30,N/A or check allergy,Scout,Distal forearm,Carpus,N/A,N/A,AP lateral,CT Wrist,Distal radius/ulna,Mid-carpus,N/A or immediate if arthrogram,0.625 mm,Submillimeter,,,,,,,,,,,,,,,,,,,Axial,Wrist,Wrist,1 mm/0.75 mm,Bone,N/A,Axial bone,Coronal,Wrist,Wrist,1 mm/0.75 mm,Bone,N/A,Coronal wrist,Sagittal,Wrist,Wrist,1 mm/0.75 mm,Bone,N/A,Sagittal wrist,Oblique sagittal,Wrist,Scaphoid,1 mm,Bone,N/A,Scaphoid long axis,Position for comfort. Submillimeter for carpal bones,msk,120,Auto (reference 150-200),0.5,Helical,Scaphoid views. Carpal alignment. 3D if complex fracture,
CT Elbow,2024-01-15,Dr. Martinez,Elbow fracture | Radial head fracture | Olecranon fracture | Coronoid | Terrible triad,Supine with elbow extended if possible or positioned for comfort,None,None,None typically. Contrast if infection,If contrast: 75 mL,2-3 mL/s,Non-contrast typical,N/A,N/A,NC for trauma. Contrast for infection or soft tissue mass,Distal humerus through proximal radius/ulna. Submillimeter. Position extended if possible. Bilateral for comparison,No IV unless contrast needed,Distal humerus fractures. Radial head. Olecranon. Coronoid. Elbow dislocation. Terrible triad,N/A or 75mL,N/A or 21s,N/A or 30mL,N/A or 8s,Elbow,NC or contrast,done,Variable,5s,N/A or eGFR > 30,N/A or check allergy,Scout,Distal humerus,Proximal forearm,N/A,N/A,AP lateral,CT Elbow,Distal humerus,Proximal radius/ulna,N/A or 60s if contrast,0.625 mm,Submillimeter,,,,,,,,,,,,,,,,,,,Axial,Elbow,Elbow,1.5 mm/1 mm,Bone,N/A,Axial bone,Coronal,Elbow,Elbow,1.5 mm/1 mm,Bone,N/A,Coronal elbow,Sagittal,Elbow,Elbow,1.5 mm/1 mm,Bone,N/A,Sagittal elbow,3D surface,Elbow,Bones,0.625 mm source,Bone,N/A,3D for complex fractures,Position extended if possible. Submillimeter for detail,msk,120,Auto (reference 200),0.5,Helical,Document terrible triad if present. Radial head-capitellum alignment. 3D reconstruction,
